DOI,grantid__bmgf,publisher_simple,journal,journal_oa_type,published_date,oa_status,publisher_license_best,apc_cost,invoice_number,invoice_date,invoice_year
10.3389/fpubh.2023.1147180,,,,closed,2023-09-22,,,3230,2023-1008788-1,2023-09-08,2023
10.1136/bmj-2022-072249,,,,closed,2023-09-21,,,6800,APC600447950,2023-09-04,2023
10.1038/s41591-023-02551-w,,,,closed,2023-09-21,,,11690,1452513097,2023-09-13,2023
10.1128/mbio.01887-23,,,,closed,2023-09-20,,,4270,APC600441996,2023-08-11,2023
10.3389/fimmu.2023.1220130,,,,closed,2023-09-20,,,3230,2023-1008788-1,2023-09-08,2023
10.3389/fvets.2023.1168649,,,,closed,2023-09-19,,,3230,2023-1008788-1,2023-09-08,2023
10.3389/fsoc.2023.1254595,,,,closed,2023-09-19,,,770,2023-1008788-1,2023-09-08,2023
10.1038/s41598-023-42425-2,,springer/nature/bmc,Scientific Reports,gold,2023-09-16,gold,cc-by,1350,2939206000,2023-09-20,2023
10.1099/mgen.0.001094,,,,closed,2023-09-15,,,3170,APC600449722,2023-09-08,2023
10.3389/fphar.2023.1088670,,,,closed,2023-09-14,,,3230,2023-1008788-1,2023-09-08,2023
10.3389/fsoc.2023.1231790,,,,closed,2023-09-14,,,1260,2023-1008788-1,2023-09-08,2023
10.1038/s41586-023-06418-5,,,,closed,2023-09-13,,,11690,1457115707,2023-08-04,2023
10.1038/s41586-023-06480-z,,,,closed,2023-09-13,,,11690,1457115707,2023-08-04,2023
10.1038/s41586-023-06501-x,,,,closed,2023-09-13,,,11690,1457115707,2023-08-04,2023
10.3389/fpls.2023.1258101,,,,closed,2023-09-11,,,3230,2023-1008788-1,2023-09-08,2023
10.3389/fimmu.2023.1216710,,frontiers,Frontiers in Immunology,closed,2023-09-11,,,3230,2023-1008788-1,2023-09-08,2023
10.1186/s12889-023-16584-w,,springer/nature/bmc,BMC Public Health,gold,2023-09-11,gold,cc-by,3170,1452511113,2023-09-13,2023
10.1016/j.pmedr.2023.102331,,elsevier,Preventive Medicine Reports,gold,2023-09-10,gold,cc-by,2720,1323170,2023-08-01,2023
10.1016/j.jvacx.2023.100370,,elsevier,Vaccine: X,gold,2023-09-10,,cc-by,2000,1325170,2023-09-08,2023
10.1016/j.jvacx.2023.100368,,elsevier,Vaccine: X,gold,2023-09-10,gold,cc-by,2000,1325170,2023-09-08,2023
10.1016/j.jvacx.2023.100366,,elsevier,Vaccine: X,gold,2023-09-10,gold,cc-by,2000,1325170,2023-09-08,2023
10.1016/j.dib.2023.109508,,elsevier,Data in Brief,gold,2023-09-10,gold,cc-by,530,1325170,2023-09-08,2023
