key,articles_published.doc_count,is_compliant_articles_percentage.value,is_free_to_read_percentage.value,is_oa_percentage.value,has_repository_version_percentage.value,has_approved_repository_version_percentage.value,has_preprint_version_percentage.value,has_data_availability_statement_percentage.value,has_no_data_availability_statement_percentage.value,total_apcs_paid.value,has_apc_percentage.value,average_apcs_paid_rounded.value,median_apcs_paid_raw.values.50.0,has_grantid_percentage.value
OPP1144,510,66.5,90,66.9,79.6,71.6,16.1,24.1,44.1,379188,26.1,2633.25,2715,10000.00%
OPP1152504,154,99.4,99.4,99.4,96.1,94.2,1.3,33.8,63,627347,89.6,4449.27,5000,10000.00%
OPP1134248,130,97.7,97.7,97.7,76.2,72.3,0.8,40,43.1,231368,82.3,2122.64,1912,10000.00%
INV-008166,120,99.2,100,99.2,95.8,95.8,0,17.5,78.3,517597,98.3,4313.31,5000,10000.00%
INTERNAL,108,94.4,98.1,94.4,88,88,1.9,16.7,72.2,284607,92.6,2635.25,2966,10000.00%
OPP1113682,106,63.2,99.1,63.2,93.4,92.5,24.5,50,44.3,175314,40.6,3652.38,3000,10000.00%
OPP1114827,95,97.9,97.9,97.9,88.4,85.3,1.1,36.8,49.5,206824,81.1,2585.3,2800,10000.00%
INV-009934,91,97.8,97.8,97.8,75.8,73.6,1.1,22,56,179780,94.5,2020,1782,10000.00%
OPP1053230,86,100,100,100,97.7,95.3,11.6,68.6,31.4,200418,81.4,2637.08,2365,10000.00%
INV-003439,81,96.3,97.5,96.3,84,76.5,4.9,79,18.5,175831,77.8,2790.97,2340,10000.00%
OPP1184344,80,97.5,100,97.5,95,95,13.8,67.5,31.3,168899,62.5,3248.06,2350,10000.00%
OPP50838,80,96.3,98.8,96.3,97.5,96.3,0,45,52.5,216552,86.3,2926.38,3000,10000.00%
INV-007594,78,84.6,94.9,84.6,89.7,89.7,1.3,28.2,60.3,120023,60.3,1690.46,728,10000.00%
OPP47075,76,94.7,100,94.7,97.4,96.1,1.3,28.9,67.1,199658,90.8,2812.08,2565,10000.00%
OPP1017641,69,69.6,92.8,69.6,88.4,85.5,1.4,26.1,65.2,71302,39.1,1927.08,2045,10000.00%
OPP49817,66,98.5,100,98.5,98.5,93.9,10.6,40.9,54.5,177137,80.3,3107.67,3107,10000.00%
OPP1148933,64,81.3,93.8,81.3,87.5,87.5,0,21.9,64.1,68819,51.6,1207.35,401,10000.00%
OPP1107597,63,95.2,98.4,95.2,95.2,95.2,6.3,60.3,30.2,126367,88.9,2038.18,2137.5,10000.00%
INV-008442,62,98.4,98.4,98.4,93.5,93.5,0,17.7,62.9,152359,91.9,2497.69,2800,10000.00%
OPP1019962,62,95.2,98.4,95.2,71,69.4,1.6,21,54.8,141916,93.5,2405.36,2440,10000.00%
OPP1088843,62,96.8,100,96.8,88.7,88.7,0,35.5,54.8,154258,95.2,2528.82,2700,10000.00%
INV-005834,61,86.9,96.7,88.5,95.1,93.4,6.6,75.4,24.6,97575,63.9,2379.88,2770,10000.00%
OPP1075938,60,90,96.7,90,81.7,81.7,3.3,30,58.3,108828,90,1844.54,1912,10000.00%
INV-010623,59,91.5,96.6,91.5,88.1,86.4,8.5,25.4,57.6,112892,91.5,1913.42,1990,10000.00%
OPP1056051,58,51.7,98.3,51.7,96.6,96.6,0,24.1,74.1,26565,17.2,1207.5,0,10000.00%
INV-007093,57,100,100,100,100,98.2,7,64.9,35.1,158074,98.2,2773.23,2350,10000.00%
OPP1115782,57,86,96.5,86,96.5,93,19.3,45.6,54.4,159696,70.2,3713.86,3855,10000.00%
OPP1130530,56,94.6,98.2,94.6,89.3,89.3,3.6,51.8,44.6,75059,60.7,1830.71,2065,10000.00%
OPP1172157,56,80.4,94.6,80.4,80.4,76.8,0,33.9,53.6,59105,32.1,1906.61,2230,10000.00%
OPP52037,56,62.5,98.2,62.5,96.4,96.4,1.8,46.4,50,40813,30.4,728.8,0,10000.00%
INV-010441,55,61.8,98.2,61.8,96.4,96.4,1.8,45.5,50.9,39178,29.1,712.33,0,10000.00%
OPP1095024,55,94.5,98.2,94.5,94.5,94.5,0,1.8,92.7,196529,92.7,3708.09,3500,10000.00%
INV-001902,54,81.5,92.6,83.3,81.5,72.2,1.9,42.6,51.9,101900,51.9,3396.67,2975,10000.00%
INV-009995,53,98.1,100,98.1,92.5,92.5,0,39.6,52.8,151597,88.7,2915.33,2999.5,10000.00%
OPP1052535,53,88.7,96.2,88.7,86.8,84.9,0,13.2,71.7,119312,81.1,2339.45,2500,10000.00%
OPP1133199,53,86.8,94.3,86.8,71.7,69.8,3.8,43.4,35.8,106261,83,2260.87,2145,10000.00%
OPP1017337,52,90.4,98.1,90.4,94.2,94.2,1.9,55.8,36.5,96100,63.5,2402.5,2500,10000.00%
OPP1070441,52,92.3,100,92.3,96.2,96.2,0,15.4,78.8,172615,88.5,3384.61,3000,10000.00%
INV-007712,51,100,100,100,100,100,0,0,100,196529,100,3853.51,3500,10000.00%
INV-008001,50,98,100,98,98,98,6,50,42,105091,94,2101.82,1993.5,10000.00%
OPP1161450,50,98,100,98,92,92,0,40,52,132588,84,2762.25,2463.5,10000.00%
OPPGD759,50,88,96,88,94,90,16,32,64,112970,80,2567.5,2600,10000.00%
INV-010410,49,100,100,100,98,98,0,22.4,75.5,142087,100,2899.73,3000,10000.00%
INV-007321,48,95.8,100,95.8,100,100,0,14.6,83.3,172615,95.8,3596.15,3000,10000.00%
OPP1127286,48,95.8,100,95.8,95.8,89.6,18.8,81.3,16.7,50770,41.7,2115.42,2390,10000.00%
OPP1058938,47,89.4,95.7,89.4,85.1,78.7,6.4,46.8,38.3,87308,72.3,2238.67,2220,10000.00%
OPPGH5342,47,91.5,97.9,91.5,95.7,93.6,0,63.8,34,82617,68.1,2232.89,2350,10000.00%
