key,articles_published.doc_count,is_compliant_articles.doc_count,is_free_to_read.doc_count,is_oa.doc_count,has_repository_version.doc_count,has_approved_repository_version.doc_count,has_preprint_version.doc_count,has_data_availability_statement.doc_count,has_no_data_availability_statement.doc_count,total_apcs_paid.value,has_apc.doc_count,average_apcs_paid_rounded.value,median_apcs_paid_raw.values.50.0,has_grantid.doc_count
OPP1144,510,339,459,341,406,365,82,123,225,379188,133,2633.25,2715,510
OPP1152504,154,153,153,153,148,145,2,52,97,627347,138,4449.27,5000,154
OPP1134248,130,127,127,127,99,94,1,52,56,231368,107,2122.64,1912,130
INV-008166,120,119,120,119,115,115,0,21,94,517597,118,4313.31,5000,120
INTERNAL,108,102,106,102,95,95,2,18,78,284607,100,2635.25,2966,108
OPP1113682,106,67,105,67,99,98,26,53,47,175314,43,3652.38,3000,106
OPP1114827,95,93,93,93,84,81,1,35,47,206824,77,2585.3,2800,95
INV-009934,91,89,89,89,69,67,1,20,51,179780,86,2020,1782,91
OPP1053230,86,86,86,86,84,82,10,59,27,200418,70,2637.08,2365,86
INV-003439,81,78,79,78,68,62,4,64,15,175831,63,2790.97,2340,81
OPP1184344,80,78,80,78,76,76,11,54,25,168899,50,3248.06,2350,80
OPP50838,80,77,79,77,78,77,0,36,42,216552,69,2926.38,3000,80
INV-007594,78,66,74,66,70,70,1,22,47,120023,47,1690.46,728,78
OPP47075,76,72,76,72,74,73,1,22,51,199658,69,2812.08,2565,76
OPP1017641,69,48,64,48,61,59,1,18,45,71302,27,1927.08,2045,69
OPP49817,66,65,66,65,65,62,7,27,36,177137,53,3107.67,3107,66
OPP1148933,64,52,60,52,56,56,0,14,41,68819,33,1207.35,401,64
OPP1107597,63,60,62,60,60,60,4,38,19,126367,56,2038.18,2137.5,63
INV-008442,62,61,61,61,58,58,0,11,39,152359,57,2497.69,2800,62
OPP1019962,62,59,61,59,44,43,1,13,34,141916,58,2405.36,2440,62
OPP1088843,62,60,62,60,55,55,0,22,34,154258,59,2528.82,2700,62
INV-005834,61,53,59,54,58,57,4,46,15,97575,39,2379.88,2770,61
OPP1075938,60,54,58,54,49,49,2,18,35,108828,54,1844.54,1912,60
INV-010623,59,54,57,54,52,51,5,15,34,112892,54,1913.42,1990,59
OPP1056051,58,30,57,30,56,56,0,14,43,26565,10,1207.5,0,58
INV-007093,57,57,57,57,57,56,4,37,20,158074,56,2773.23,2350,57
OPP1115782,57,49,55,49,55,53,11,26,31,159696,40,3713.86,3855,57
OPP1130530,56,53,55,53,50,50,2,29,25,75059,34,1830.71,2065,56
OPP1172157,56,45,53,45,45,43,0,19,30,59105,18,1906.61,2230,56
OPP52037,56,35,55,35,54,54,1,26,28,40813,17,728.8,0,56
INV-010441,55,34,54,34,53,53,1,25,28,39178,16,712.33,0,55
