key,articles_published,is_compliant_articles,is_free_to_read,is_oa,has_repository_version,has_approved_repository_version,has_preprint_version,has_data_availability_statement,has_no_data_availability_statement,total_apcs_paid,has_apc,average_apcs_paid,median_apcs_paid,has_grantid
OPP1144,592,0,90.4,68.1,79.7,0,18.2,25.7,44.9,396098,23.3,2658.38,2750,0
OPP1152504,172,0,99.4,99.4,95.9,0,1.2,34.9,62.8,701827,90.1,4441.94,5000,0
INV-008166,133,0,100,99.2,96.2,0,0,18.8,77.4,573597,98.5,4312.76,5000,0
OPP1134248,130,0,97.7,97.7,73.8,0,0.8,40,43.1,231368,82.3,2122.64,1912,0
INTERNAL,111,0,97.3,93.7,87.4,0,1.8,18,70.3,289722,92.8,2563.91,2900,0
OPP1113682,111,0,98.2,64.9,92.8,0,25.2,52.3,42.3,187549,40.5,3750.98,3000,0
OPP1184344,108,0,100,98.1,96.3,0,20.4,72.2,26.9,184993,51.9,2890.52,2350,0
OPP1114827,95,0,97.9,97.9,85.3,0,1.1,36.8,49.5,206824,81.1,2585.3,2800,0
OPP1017641,93,0,93.5,77.4,86,0,3.2,26.9,64.5,104633,39.8,2092.66,2200,0
OPP1053230,93,0,100,100,97.8,0,10.8,66.7,33.3,217463,82.8,2620.04,2350,0
INV-007594,91,0,95.6,86.8,91.2,0,2.2,31.9,58.2,158110,62.6,1904.94,1500,0
INV-009934,91,0,97.8,97.8,75.8,0,1.1,22,56,179780,94.5,2020,1782,0
INV-003439,80,0,96.3,96.3,77.5,0,5,78.8,18.8,172601,77.5,2783.89,2340,0
OPP50838,80,0,98.8,96.3,96.3,0,0,45,52.5,216552,86.3,2926.38,3000,0
OPP1148933,79,0,94.9,84.8,89.9,0,0,29.1,59.5,103162,54.4,1495.1,728,0
OPP47075,77,0,100,94.8,96.1,0,1.3,29.9,66.2,201408,90.9,2797.33,2557.5,0
OPP1132415,66,0,100,98.5,98.5,0,4.5,65.2,33.3,144802,59.1,3147.87,3227.5,0
OPP49817,65,0,100,98.5,96.9,0,9.2,41.5,55.4,174177,80,3110.3,3203.5,0
INV-007093,63,0,100,100,100,0,7.9,61.9,38.1,174834,100,2731.78,2350,0
OPP1107597,63,0,98.4,95.2,95.2,0,6.3,60.3,30.2,126367,88.9,2038.18,2137.5,0
