key,articles_published.doc_count,is_compliant_articles.doc_count,is_free_to_read.doc_count,is_oa.doc_count,has_repository_version.doc_count,has_approved_repository_version.doc_count,has_preprint_version.doc_count,has_data_availability_statement.doc_count,has_no_data_availability_statement.doc_count,total_apcs_paid.value,has_apc.doc_count,average_apcs_paid_rounded.value,median_apcs_paid_raw.values.50.0,has_grantid.doc_count
Elsevier BV,543,365,497,375,390,256,26,276,197,938660,254,3695.51,3475,252
Springer Science and Business Media LLC,419,377,397,382,346,196,75,340,51,598175,153,3909.64,2970,264
Frontiers Media SA,217,210,217,216,170,103,9,156,35,468100,173,2705.78,3230,114
Public Library of Science (PLoS),201,195,201,198,174,89,37,186,0,187380,83,2257.59,2100,130
Wiley,190,143,161,148,73,32,7,68,49,83550,27,3094.44,3400,100
MDPI AG,164,163,164,164,128,71,5,114,34,160620,77,2085.97,2160,107
Oxford University Press (OUP),99,57,87,58,69,27,8,27,58,14100,5,2820,2660,56
BMJ,91,71,91,76,78,44,1,63,21,147170,47,3131.28,2800,63
Informa UK Limited,74,56,68,60,35,18,2,14,43,16450,14,1175,740,38
F1000 Research Ltd,54,54,54,54,23,10,3,52,0,32270,29,1112.76,1150,44
American Chemical Society (ACS),49,43,44,43,34,19,5,13,29,93440,31,3014.19,3000,41
American Society for Microbiology,38,31,36,35,30,10,6,5,26,18280,5,3656,4270,26
SAGE Publications,30,11,21,13,11,5,0,0,17,1200,1,1200,1200,17
American Society of Tropical Medicine and Hygiene,27,27,27,27,22,16,2,1,23,50170,17,2951.18,2670,17
Cambridge University Press (CUP),17,16,17,16,5,1,2,2,6,20080,7,2868.57,2880,14
International Society of Global Health,16,12,15,14,10,6,1,1,15,38070,13,2928.46,3280,12
American Association for the Advancement of Science (AAAS),12,6,12,8,12,2,2,5,6,11620,3,3873.33,4050,3
"Johns Hopkins School Bloomberg School of Public Health, Center for Communication Programs",11,11,11,11,8,6,0,0,11,0,0,,,0
Proceedings of the National Academy of Sciences,11,6,11,6,10,5,2,8,1,0,0,,,7
American Society for Clinical Investigation,10,10,10,10,10,6,0,1,9,10600,2,5300,5300,7
JMIR Publications Inc.,10,10,10,10,10,8,0,5,5,10540,4,2635,2680,4
"eLife Sciences Publications, Ltd",10,9,10,9,10,6,9,9,0,17000,6,2833.33,3000,9
Royal Society of Chemistry (RSC),9,3,7,3,5,5,1,3,5,2470,1,2470,2470,8
